review_id,user_id,game_id,rating,review_text,created_at,updated_at,is_spoiler,likes_count,dislikes_count
rev_0000000001,u_0000001,g_0003368,2,synthetic review with rating 2 for g_0003368,2026-03-14T23:22:10Z,2026-03-30T23:22:10Z,False,103,21
rev_0000000002,u_0000001,g_0027405,1,synthetic review with rating 1 for g_0027405,2026-01-25T22:36:10Z,2026-01-26T22:36:10Z,False,256,41
rev_0000000003,u_0000001,g_0031342,2,synthetic review with rating 2 for g_0031342,2026-03-05T18:29:59Z,2026-03-11T18:29:59Z,False,268,58
rev_0000000004,u_0000001,g_0067529,4,synthetic review with rating 4 for g_0067529,2026-01-25T07:31:55Z,2026-02-02T07:31:55Z,False,121,16
rev_0000000005,u_0000001,g_0028691,3,synthetic review with rating 3 for g_0028691,2025-08-09T04:13:57Z,2025-09-01T04:13:57Z,False,400,75
rev_0000000006,u_0000001,g_0015347,3,synthetic review with rating 3 for g_0015347,2026-03-28T06:45:10Z,2026-04-26T06:45:10Z,False,37,14
rev_0000000007,u_0000001,g_0062964,3,synthetic review with rating 3 for g_0062964,2026-02-02T17:37:49Z,2026-02-20T17:37:49Z,False,185,20
rev_0000000008,u_0000002,g_0036155,3,synthetic review with rating 3 for g_0036155,2026-03-17T12:31:21Z,2026-03-18T12:31:21Z,False,354,20
rev_0000000009,u_0000002,g_0012357,3,synthetic review with rating 3 for g_0012357,2026-05-31T16:56:12Z,2026-06-30T16:56:12Z,False,468,78
rev_0000000010,u_0000003,g_0013357,3,synthetic review with rating 3 for g_0013357,2026-05-08T21:49:49Z,2026-06-07T21:49:49Z,False,170,23
rev_0000000011,u_0000004,g_0046287,5,synthetic review with rating 5 for g_0046287,2026-03-23T07:42:28Z,2026-04-22T07:42:28Z,False,119,14
rev_0000000012,u_0000005,g_0061720,4,synthetic review with rating 4 for g_0061720,2026-04-24T08:29:47Z,2026-05-15T08:29:47Z,False,311,6
rev_0000000013,u_0000005,g_0000187,3,synthetic review with rating 3 for g_0000187,2026-05-29T03:15:10Z,2026-06-23T03:15:10Z,False,414,52
